Country,Region,HappinessRank_2016,HappinessScore_2016,Economy_2016,Family_2016,Health_2016,Freedom_2016,Trust_2016,Generosity_2016,HappinessRank_2015,HappinessScore_2015,Economy_2015,Family_2015,Health_2015,Freedom_2015,Trust_2015,Generosity_2015,HappinessRank_2017,HappinessScore_2017,Economy_2017,Family_2017,Health_2017,Freedom_2017,Generosity_2017,Trust_2017,HappinessRank_2018,HappinessScore_2018,Economy_2018,Family_2018,Health_2018,Freedom_2018,Generosity_2018,HappinessRank_2019,HappinessScore_2019,Economy_2019,Family_2019,Health_2019,Freedom_2019,Generosity_2019,HappinessRank_2020,HappinessScore_2020,Economy_2020,Family_2020,Health_2020,Freedom_2020,Generosity_2020,HappinessRank_2021,HappinessScore_2021,Economy_2021,Family_2021,Health_2021,Freedom_2021,Generosity_2021,HappinessRank_2022,HappinessScore_2022,Economy_2022,Family_2022,Health_2022,Freedom_2022,Generosity_2022
Lebanon,Middle East and Northern Africa,93,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,88,5.224999905,1.074987531,1.129624248,0.735081077,0.288515985,0.264450759,0.03751383,80,5.358,0.965,1.179,0.785,0.503,0.214,91,5.197,0.987,1.224,0.815,0.216,0.166,111,4.771500111,0.93617239,0.824338138,0.67294075,0.551357508,-0.06121527,123,4.584,0.9626,0.848,0.67355,0.525,-0.073,145,2.955,1.392,0.498,0.631,0.631,0.631
Lesotho,Sub-Saharan Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,3.808000088,0.521021247,1.190095186,0,0.390661299,0.157497272,0.11909464,141,3.808,0.472,1.215,0.079,0.423,0.116,144,3.802,0.489,1.169,0.168,0.359,0.107,143,3.652800083,0.796048832,0.780495703,0.725999985,0.738125861,-0.145732045,145,3.512,0.7926,0.787,0.487,0.715,-0.131,141,3.512,0.839,0.848,0,0,0
Liberia,Sub-Saharan Africa,150,3.622,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,97,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,148,3.532999992,0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,0.038948249,149,3.495,0.076,0.858,0.267,0.419,0.206,141,3.975,0.073,0.922,0.443,0.37,0.233,124,4.557899952,0.705438042,0.70928055,0.675044251,0.735268712,0.04227322,120,4.625,0.7288,0.72,0.56498,0.735,0.05,97,5.122,0.636,0.67,0.309,0.309,0.309
Libya,Middle East and Northern Africa,67,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,68,5.525000095,1.101803064,1.35756433,0.52016902,0.46573323,0.152073666,0.09261021,70,5.566,0.985,1.35,0.553,0.496,0.116,72,5.525,1.044,1.303,0.673,0.416,0.133,80,5.488800049,0.97898159,0.825942934,0.591054268,0.773157001,-0.085054487,80,5.41,0.9622,0.827,0.623,0.771,-0.087,86,5.33,1.476,0.943,0.606,0.606,0.606
Lithuania,Central and Eastern Europe,60,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,63,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,52,5.90199995,1.314582348,1.473516107,0.62894994,0.234231785,0.010164657,0.011865643,50,5.952,1.197,1.527,0.716,0.35,0.026,42,6.149,1.238,1.515,0.818,0.291,0.043,41,6.215499878,1.034362602,0.926107109,0.575928879,0.747381449,-0.219725296,38,6.255,1.0499,0.935,0.67906,0.773,-0.203,34,6.446,1.804,1.204,0.659,0.659,0.659
Luxembourg,Western Europe,20,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,18,6.862999916,1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,0.318834424,17,6.91,1.576,1.52,0.896,0.632,0.196,14,7.09,1.609,1.479,1.012,0.526,0.194,10,7.237500191,1.145068073,0.906912208,0.671021576,0.90563643,-0.004620588,8,7.324,1.1647,0.908,0.726,0.907,-0.034,6,7.404,2.209,1.155,0.79,0.79,0.79
Macedonia,Central and Eastern Europe,95,5.121,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,92,5.175000191,1.064577937,1.207893014,0.644948184,0.325905979,0.253760964,0.060277794,89,5.185,0.959,1.239,0.691,0.394,0.173,0,0,0,0,0,0,0,90,5.159800053,0.951059151,0.820392311,0.705999985,0.738840938,-0.019877451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,Sub-Saharan Africa,148,3.695,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,93,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,144,3.644000053,0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,0.067231975,143,3.774,0.262,0.908,0.402,0.221,0.155,143,3.933,0.274,0.916,0.555,0.148,0.169,137,4.165599823,0.728168583,0.668195903,0.517269821,0.557574093,-0.011823639,135,4.208,0.7396,0.686,0.59305,0.552,-0.005,128,4.339,0.67,0.645,0.378,0.378,0.378
Malawi,Sub-Saharan Africa,132,4.156,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,136,3.970000029,0.233442038,0.512568831,0.315089583,0.466914654,0.28717047,0.072711654,147,3.587,0.186,0.541,0.306,0.531,0.21,150,3.41,0.191,0.56,0.495,0.443,0.218,145,3.538000107,0.70622263,0.544007301,0.72199997,0.803223193,0.021433279,144,3.6,0.6958,0.537,0.57948,0.78,0.038,138,3.75,0.648,0.279,0.388,0.388,0.388
Malaysia,Southeastern Asia,47,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,42,6.084000111,1.29121542,1.284646034,0.618784428,0.402264982,0.41660893,0.065600708,35,6.322,1.161,1.258,0.669,0.356,0.311,80,5.339,1.221,1.171,0.828,0.508,0.26,82,5.384300232,1.026251888,0.816509426,0.570101776,0.894626856,0.114726797,81,5.384,1.0238,0.817,0.67102,0.895,0.125,70,5.711,1.689,0.938,0.62,0.62,0.62
